Root Domain,company,Image Url 1,Link to Product Page,Sentence1,Sentence2,Model Number,job titles,Contact Email,Response
tytekmedical.com,TyTek Medical,https://tytekmedical.com/wp-content/uploads/2024/06/MCI-Bag-Light-Out.jpg,https://tytekmedical.com/medical-products/mci-bag/,I was browsing through your site and came across one of your products: mci bag,"That comes with a soft-sided case, right?",,owner,sales@tytekgroup.com,sales@tytekgroup.com
emsproductcenter.com,Masimo,https://www.emsproductcenter.com/wp-content/uploads/2024/03/STB-Kit-Dynamic.jpg,https://www.emsproductcenter.com/product-category/bags-cases-kits/,I was browsing through your site and came across one of your products: narc id,"That comes with a cut and sew bag, right?",,owner,contact@emsproductcenter.com,contact@emsproductcenter.com
medresqfirstaid.com,"Anping Guardian Medical Equipment Co.,Ltd",https://medresqfirstaid.com/wp-content/uploads/2023/10/first-aid-kit-splint.webp,https://medresqfirstaid.com/product/splint-kit-azsps01/,I was browsing through your site and came across one of your products: splint kit,"That comes with a cut and sew bag, right?",(model number: az-sps-01 ),owner,info@tjresq.com,info@tjresq.com
safetykitsplus.com,Safety Kits Plus,https://www.safetykitsplus.com/cdn/shop/files/Trauma-First-Aid-Kit-Hard-Case-Standing-Front.jpg?v=1740341340&width=700,https://www.safetykitsplus.com/,I was browsing through your site and came across one of your products: deluxe road warrior vehicle emergency kit,"That comes with a plastic case, right?",,owner,sales@safetykitsplus.com,sales@safetykitsplus.com
urgentfirstaid.com,Urgent First Aid,https://urgentfirstaid.com/media/catalog/product/cache/2c4fc0bb6674783f79df0d8bfc41b50b/u/r/urg-3620_5_1.jpg,https://urgentfirstaid.com/bulk-safety-kits/10-person-116-piece-bulk-first-aid-kit-urgent-first-aid-urg-3620.html,I was browsing through your site and came across one of your products: first aid kit,"That comes with a plastic case, right?",(model number: URG-3620 ),owner,info@urgentfirstaid.com,info@urgentfirstaid.com
chinookmed.com,Chinook Medical Gear,https://www.chinookmed.com/mas_assets/cache/image/1/4/9/6/x480-5270.Jpg,https://www.chinookmed.com/01385rd/home-vehicle-bag.html,I was browsing through your site and came across one of your products: home & vehicle bag,"That comes with a cut and sew bag, right?",(model number: 01385RD ),owner,info@chinookmed.com,info@chinookmed.com
mtrsuperstore.com,Med-Tech Resource,https://www.mtrsuperstore.com/cdn/shop/products/20150116_142548_1200x.jpg?v=1526005143,https://www.mtrsuperstore.com/products/mtr-gun-bag,I was browsing through your site and came across one of your products: mtr gun bag,"That comes with a soft-sided case, right?",(model number: MTR-GUN93 ),owner,customercare@mtrsuperstore.com,customercare@mtrsuperstore.com
china-firstar.com,Firstar Healthcare,https://www.china-firstar.com/wp-content/uploads/2023/10/FS-9703R-jpg.webp,https://www.china-firstar.com/medicine-cabinet-first-aid-case-empty-first-aid-box/,I was browsing through your site and came across one of your products: first aid box,"That comes with a plastic case, right?",,owner,sales@china-firstar.com,sales@china-firstar.com
meretusa.com,MERET USA LLC,https://meretusa.com/cdn/shop/files/M5137-TBBack.png?v=1694017932,https://meretusa.com/products/i-v-s-s-pro-x,I was browsing through your site and came across one of your products: i.v.s.s. pro x,"That comes with a soft-sided case, right?",(model number: m5137-tb ),owner,info@meretusa.com,info@meretusa.com
redfora.com,Redfora,https://redfora.com/cdn/shop/files/PDP_1.jpg?v=1741886512&width=1445,https://redfora.com/products/ready-2-start-emergency-bag,I was browsing through your site and came across one of your products: ready2start emergency bag,"That comes with a cut and sew bag, right?",,owner,contact@redfora.com,contact@redfora.com
unchartedsupplyco.com,Uncharted Supply Co,http://unchartedsupplyco.com/cdn/shop/files/Artboard1-588597copy-687213_copy_grande.png?v=1738879760,https://unchartedsupplyco.com/products/the-seventy2-pro,I was browsing through your site and came across one of your products: the seventy2 pro survival system,"That comes with a cut and sew bag, right?",,owner,webcomponents/webcomponentsjs@2.7.0,webcomponents/webcomponentsjs@2.7.0
ussafetykits.com,US Safety Kits,https://www.ussafetykits.com/image/cache/catalog/dot/nicki/tk-m1-500x500.png,https://www.ussafetykits.com/auto-safety-kits/dot-truck-safety-kits/fleet-safety-kits/uskits-dot-truck-safety-kit-stainless-steel-case,I was browsing through your site and came across one of your products: uskits dot truck safety kit in metal box,"That comes with an aluminum case, right?",(model number: 78455 ),owner,orders@ussafetykits.com,orders@ussafetykits.com
fastlimited.com,F.A.S.T. Limited,https://fastlimited.com/cdn/shop/files/EKIT1458-ALL-HARD-CASES-INSERTS_1080x.jpg?v=1708539936,https://fastlimited.com/products/hard-case-inserts-ekit1458,I was browsing through your site and came across one of your products: hard case inserts,"That comes with a cut and sew bag, right?",(model number: EKIT1458 ),owner,fast@fastlimited.com,fast@fastlimited.com
firstmyfamily.com,First My Family,https://www.firstmyfamily.com/cdn/shop/files/4PersonBanner1_medium.jpg?v=1715626285,https://www.firstmyfamily.com/products/4-person-premium-disaster-preparedness-kit-72-hours-of-supplies-2,I was browsing through your site and came across one of your products: 4 person survival kit - disaster preparedness kit,"That comes with a cut and sew bag, right?",,owner,"pr@firstmyfamily.com, corp@firstmyfamily.com","pr@firstmyfamily.com, corp@firstmyfamily.com"
ethospreparedness.com,Ethos Preparedness,https://www.ethospreparedness.com/cmss_files/imagelibrary/4-Adult-Med-Sled-Storage-Case-reduce.jpg,https://www.ethospreparedness.com/organizations/med-sled-storage-devices.html,I was browsing through your site and came across one of your products: med sled® storage devices,"That looks like a soft sided case, right?","(model number: #MSSD4, #MSSD10, #MSSDB2, #MSSDB6, #MSSDSC1, #MSSDSC2, #MSSDINF2, #MSSDEB6R )",owner,info@ethospreparedness.com,info@ethospreparedness.com
sammedical.com,SAM Medical Products,https://www.sammedical.com/cdn/shop/products/sam-io-field-storage-main_1024x1024.png?v=1608213570,https://www.sammedical.com/products/sam-io-field-storage-case,I was browsing through your site and came across one of your products: sam io field storage case,"That comes with an EVA case, right?",(model number: IO745-EN ),owner,contact@sammedical.com,contact@sammedical.com
alimed.com,AliMed,https://www.alimed.com/_resources/cache/images/product/922670_1000x1000-pad.jpg,https://www.alimed.com/meditray-casetray-units.html,I was browsing through your site and came across one of your products: meditray case/tray units,"That comes with aluminum case, right?",,owner,customerservice@AliMed.com,customerservice@AliMed.com
mmemed.com,Master Medical Equipment,https://www.mmemed.com/wp-content/uploads/2023/10/Case-Hanging.jpg,https://www.mmemed.com/product/sapphire-pump-protective-case-emb23901scb-embra-medical-new/,I was browsing through your site and came across one of your products: sapphire pump protective case,"That comes with a silicone skin, right?",(model number: emb23901scb ),owner,contact email not found on the website,contact email not found on the website
laerdal.com,Laerdal Medical,https://laerdal.com/images/sku/200-00350.png?lang=us,https://laerdal.com/us/item/200-00350/,"I was browsing through your site and came across one of your products: carry case, full body adult, soft case","That comes with a soft-sided case, right?",(model number: 200-00350 ),owner,LCATechSupport@laerdal.com,LCATechSupport@laerdal.com
tpicustomsolutions.com,TPI Custom Solutions,https://tpicustomsolutions.com/wp-content/uploads/2020/11/casestudy_1.jpg,https://tpicustomsolutions.com/case-studies/,I was browsing through your site and came across one of your products: custom wearable medical belt,"That comes with cut and sew bags, right?",,owner,customerservice@tpicustomsolutions.com,customerservice@tpicustomsolutions.com
savelives.com,Common Cents EMS Supply LLC,https://www.savelives.com/media/catalog/product/cache/43a5a03b5a36367dc6f1147480239a1f/3/5/35940-case.jpg,https://www.savelives.com/ultra-spac-sav-carry-case-red,I was browsing through your site and came across one of your products: ultra spac-sav carry case red,"That comes with a soft-sided case, right?",(model number: 35940-CASE ),owner,info@savelives.com,info@savelives.com
alcoholtest.com,"CMI, Inc.",https://www.alcoholtest.com/wp-content/uploads/2014/09/thumb-240case.jpg,https://www.alcoholtest.com/intoxilyzer-accessories/,I was browsing through your site and came across one of your products: intoxilyzer 9000,"That comes with plastic cases, right?",,owner,contact@alcoholtest.com,contact@alcoholtest.com
tandemdiabetes.com,Tandem Diabetes Care,https://www.tandemdiabetes.com/images/default-source/blog-body-images/cm-000158_b_eblast_tnews_june_blog_image_03.jpg?sfvrsn=aca93cd7_0,https://www.tandemdiabetes.com/community/blog/post/t-case-and-t-case-480-available-for-purchase-by-august-1,I was browsing through your site and came across one of your products: tandem mobi system,"That comes with a silicone skin, right?",(model number: tandem mobi insulin pump ),owner,info@tandemdiabetes.com,info@tandemdiabetes.com
burtonsveterinary.com,Burtons,https://burtonsveterinary.com/media/catalog/product/cache/62520a7100540a046e962a56f3b675f4/w/a/wa96224-vsm-pneumatic-zip-up-case.jpg,https://burtonsveterinary.com/welch-allyn-operating-battery-diagnostic-set-2787.html,I was browsing through your site and came across one of your products: welch allyn diagnostic zip up case set,"That comes with an EVA case and foam inserts, right?",(model number: WA962-case-set ),owner,info@burtons.uk.com,info@burtons.uk.com
advacarepharma.com,AdvaCare Pharma,https://www.advacarepharma.com/static/1ce82413cb2f1bb138e7eab20b9fac35/323c6/stethoscope-case-open.png,https://www.advacarepharma.com/en/medical-devices/stethoscope,I was browsing through your site and came across one of your products: stethoscope,"That comes with an EVA case, right?",(model number: AccuQuik™ Diagnostic Detection ),owner,info@advacarepharma.com,info@advacarepharma.com
kshamasurgical.com,Kshama Surgical,https://kshamasurgical.com/wp-content/uploads/2024/10/SS-21C-Surgical-Set-Small-Animal-21_01-scaled.jpg,https://kshamasurgical.com/product/surgical-set-small-animal-21/,I was browsing through your site and came across one of your products: surgical set small animal-21 pisces i veterinary surgical instrument rust proof ss,"That comes with a soft-sided case, right?",(model number: ss-21c ),owner,kshamasurgical@gmail.com,kshamasurgical@gmail.com
vitalvetinst.com,VITAL VET INSTRUMENTS,https://vitalvetinst.com/wp-content/uploads/2021/04/6.jpg,https://vitalvetinst.com/product/posting-kit-8-piece-kit-with-zipper-case/,I was browsing through your site and came across one of your products: posting kit 8 piece kit with zipper case,"That comes with a case with foam inserts, right?",(model number: VVI-22-106-00 ),owner,info@vitalvetinst.com,info@vitalvetinst.com
myvetsupplies.com,IVS,https://myvetsupplies.com/cdn/shop/products/628fbc9258f8371a3bc7311f_624f0f1076961e71b26015a9_021-DKIT.png?v=1655324529&width=645,https://myvetsupplies.com/products/dissection-kit,I was browsing through your site and came across one of your products: dissection kit,"That comes with case with foam inserts, right?",(model number: 021-DKIT ),owner,info@myvetsupplies.com,info@myvetsupplies.com
veterinaryimplants.com,GPC Medical,https://www.veterinaryimplants.com/category-img/orthopaedic-range/implant-set-hm.webp,https://www.veterinaryimplants.com/,I was browsing through your site and came across one of your products: canine pantarsal arthrodesis plate,"That comes with a case with foam inserts, right?",,owner,info@veterinaryimplants.com,info@veterinaryimplants.com
vet1.com.au,Vet 1 Pty Ltd,https://vet1.com.au/wp-content/uploads/2021/06/IMG_0286-2.png,https://vet1.com.au/oxygen-therapy/,I was browsing through your site and came across one of your products: vet1 oxygen therapy,"That comes with a plastic case, right?",,owner,sales@vet1.com.au,sales@vet1.com.au
eickemeyer.co.uk,Eickemeyer Veterinary Equipment,https://www.eickemeyer.co.uk/web/image/product.image/11632/image_1024/173695_173697_Ansicht2?unique=3dbbc25,https://www.eickemeyer.co.uk/shop/173697-case-for-kowa-sl-19-plus-111919?page=8&category=4581,I was browsing through your site and came across one of your products: case for kowa sl-19 plus hand slit lamp,"That comes with a plastic case, right?",(model number: 173697 ),owner,info@eickemeyer.co.uk,info@eickemeyer.co.uk
veroveterinary.com,Vero Veterinary Partners,https://veroveterinary.com/wp-content/uploads/2023/02/SunTech-Nylon-Carrying-Case-Bag.jpg,https://veroveterinary.com/product/vet20-25-30-carrying-case-for-suntech-units/,I was browsing through your site and came across one of your products: vet20/25/30 carrying case for suntech monitors,"That comes with a soft sided case, right?",,owner,info@veroveterinary.com,info@veroveterinary.com
vetlabsupplies.co.uk,Vetlab Supplies Ltd,https://vetlabsupplies.co.uk/assets/Microscope-Carry-Case-1.jpg,https://vetlabsupplies.co.uk/products/biological-microscopes/microscope-carry-case-2/,I was browsing through your site and came across one of your products: universal microscope carry case,"That comes with a soft-sided case, right?",(model number: 1957 ),owner,info@vetlabsupplies.co.uk,info@vetlabsupplies.co.uk
iwet.vet,IWET,https://iwet.vet/en/wp-content/uploads/2018/07/ATPLO-15-45-1-1mb-300x200.png,https://iwet.vet/en/kategoria-produktu/cases-sterilization/,"I was browsing through your site and came across one of your products: sterilization cases – anatomical tplo plates, caudal bended","That's an aluminum case, right?",,owner,iwet@iwet.vet,iwet@iwet.vet
midenmedical.com.au,Miden Medical,https://midenmedical.com.au/wp-content/uploads/2015/12/fram-slideshow1-650x400.jpg,https://midenmedical.com.au/portfolio-view/field-research-anaesthetic-machine-fram/,I was browsing through your site and came across one of your products: field research anaesthetic machine,"That comes with a plastic case, right?",,owner,sales@midenmedical.com.au,sales@midenmedical.com.au
hamiltonthorne.com,Hamilton Thorne,https://www.hamiltonthorne.com/wp-content/uploads/Zilos-tk-2.png,https://www.hamiltonthorne.com/product/zilos-tk/,I was browsing through your site and came across one of your products: zilos-tk,"That comes with foam inserts, right?",,owner,No generic contact email found.,No generic contact email found.
first-aid-store.com,First Aid Store,https://first-aid-store.com/media/catalog/product/cache/1e7621bf72ed37b6676f93eb7a9767d7/m/5/m5032_1.jpg,https://first-aid-store.com/the-first-aid-store-empty-polypropylene-case-w-gasket-36-unit.html,I was browsing through your site and came across one of your products: the first aid store™ empty polypropylene case w/ gasket - 36 unit,"That comes with plastic cases, right?",(model number: M5036 ),owner,info@first-aid-store.com,info@first-aid-store.com
glucagonemergencykit.com,Fresenius Kabi,https://www.glucagonemergencykit.com/wp-content/uploads/2019/11/glucagon-kit-front-back.png,https://www.glucagonemergencykit.com/glucagon-emergency-kit/,I was browsing through your site and came across one of your products: glucagon emergency kit,"That comes with a plastic case, right?",,owner,customerservice.usa@fresenius-kabi.com,customerservice.usa@fresenius-kabi.com
careprohs.com,CarePro Health Services,https://www.careprohs.com/uploads/ecommerce/replica/simply-go-mini-321.jpg?v=1716341861,https://www.careprohs.com/product/respironics-simply-go-portable-oxygen-concentrator,I was browsing through your site and came across one of your products: respironics simplygo portable oxygen concentrator,"That comes with a soft-sided case, right?",(model number: SimplyGo ),owner,contact@careprohs.com,contact@careprohs.com
itecems.com,iTEC Manufacturing,https://itecems.com/wp-content/uploads/2017/09/code-strap-case-500x333.jpg,https://itecems.com/product/code-strap-case/,I was browsing through your site and came across one of your products: code strap case,"That comes with a cut and sew bag, right?",,owner,info@itecems.com,info@itecems.com
wnlproducts.com,WNL Products,https://www.wnlproducts.com/wp-content/uploads/2019/09/WL120-4_case-650x650.jpg,https://www.wnlproducts.com/product/empty-carry-case-for-wl120-4-pack/,I was browsing through your site and came across one of your products: empty carry case for wl120 4-pack,"That comes with a soft-sided case, right?",(model number: XFTCASE-120-4 ),owner,orders@wnlproducts.com,orders@wnlproducts.com
tacmedsolutions.com,TacMed Solutions,http://tacmedsolutions.com/cdn/shop/products/media_eccdb007-7e62-4060-b29b-cd3ee96e395d.jpg?v=1629065780,https://tacmedsolutions.com/products/tacmed-surgical-set-case-only,I was browsing through your site and came across one of your products: tacmed™ surgical set - case only,"That comes with a cut and sew bag, right?",(model number: SURG-CAS ),owner,marketing@tacmedsolutions.com,marketing@tacmedsolutions.com
meditackits.com,MediTac,https://meditackits.com/cdn/shop/files/MT1109AWMB1_OPEN_CASE_IMAGE_V2.png?v=1653599705&width=1600,https://meditackits.com/,I was browsing through your site and came across one of your products: meditac tactical trauma kit with rucksack,"That comes with a plastic case, right?",,owner,info@meditackits.com,info@meditackits.com
shop.dan.org,Divers Alert Network,https://shop.dan.org/cdn/shop/files/611-4035_1600_Red_Pelican_Case_ERK_Img2.jpg?v=1722946377&width=1500,https://shop.dan.org/,I was browsing through your site and came across one of your products: dual rescue pack extended care,"That comes with plastic cases, right?",,owner,member@DAN.org,member@DAN.org
orthomed.co.uk,Orthomed,https://www.orthomed.co.uk/us/uploaded/thumbnails/db_file_img_2002_autoxauto.jpg,https://www.orthomed.co.uk/us/product/small-animal-case-with-screw-rack/,I was browsing through your site and came across one of your products: small animal case with screw rack,"That comes with aluminum cases, right?",(model number: screwtray ),owner,info@orthomed.co.uk,info@orthomed.co.uk
rhcmed.com,RHC Medical,https://www.rhcmed.com/uploads/image/20240226/11/medical-lmaging-machine-sv7.webp,https://www.rhcmed.com/products/handheld-veterinary-ultrasound-sv7/,I was browsing through your site and came across one of your products: handheld veterinary ultrasound,"That comes with aluminum case and foam inserts, right?",(model number: sv7 ),owner,sam@rhcmed.com,sam@rhcmed.com
gradymedical.com,Grady Medical,https://gradymedical.com/wp-content/uploads/2022/04/20230316_GMS_FutureGen-Shoot_P2460073-scaled.jpg,https://gradymedical.com/product/gradyvet-pal-futuregen-cl-4-1-probe/,I was browsing through your site and came across one of your products: gradyvet pal futuregen cl 4 (1-probe),"That comes with aluminum cases, right?",,owner,Sales@GradyMedical.com,Sales@GradyMedical.com
suntechmed.com,SunTech Medical,https://suntechmed.com/images/easyblog_articles/213/b2ap3_large_Vet-Brochure.png,https://www.suntechmed.com/blog/entry/vet-bp/in-case-you-missed-it,I was browsing through your site and came across one of your products: suntech vet bp carrying case,"That comes with soft-sided case, right?",(model number: 45-0010-00 ),owner,CustomerSupport@SunTechMed.com,CustomerSupport@SunTechMed.com
landauer.com,Landauer,https://www.landauer.com/sites/default/files/styles/mobile_friendly_square/public/product-featured/radlight-portable-dosimeter-reader.jpg?itok=SY62cSDy,https://www.landauer.com/radlight,I was browsing through your site and came across one of your products: radlight,"That comes with an ATA case, right?",,owner,contact@landauer.com,contact@landauer.com
tccc.org.ua,Американський курс тактичної медицини TCCC,https://tccc.org.ua/files/uploads/tccc-cmc3/module-3-care-under-fire-threat-17.jpg,https://tccc.org.ua/en/guide/module-3-care-under-fire-threat-cmc,I was browsing through your site and came across one of your products: junctional emergency treatment tool (jett) junctional tourniquet,"That comes with a soft-sided case, right?",,owner,info@tccc.org.ua,info@tccc.org.ua
medicalequipment-msl.com,Medsinglong,https://medicalequipment-msl.com/upload/img/20231018/202310181836143851.jpg,https://www.medicalequipment-msl.com/htm/wireless-ultrasound/Wireless-Double-Ultrasound-Probe-MSLAA114.html,I was browsing through your site and came across one of your products: wireless double ultrasound probe,"That comes with an aluminum case and an EVA case, right?",(model number: MSLAA114 ),owner,Cindy@medmsl.com,Cindy@medmsl.com
universalbiosensors.com,Universal Biosensors,https://universalbiosensors.com/wp-content/uploads/sentia-case-1DE_28921-733x1100.jpg,https://universalbiosensors.com/products/sentia/sentia-products/sentia-meter-case/,I was browsing through your site and came across one of your products: sentia™ meter case,"That comes with silicone skins, right?",(model number: 90210 ),owner,info@hemostasislab.com,info@hemostasislab.com
bedfont.com,Bedfont Scientific Ltd,https://www.bedfont.com/wp-content/uploads/2024/10/medigas-range-home-1024x634.png,https://www.bedfont.com/,I was browsing through your site and came across one of your products: smokerlyzer,"That comes with a case with foam inserts, right?",,owner,ask@bedfont.com,ask@bedfont.com
choosemuse.com,InteraXon Inc.,https://choosemuse.com/cdn/shop/files/Muse2Case_1.png?v=1683923572&width=686,https://choosemuse.com/products/muse-carrying-case,I was browsing through your site and came across one of your products: muse 2 case,"That comes with an EVA case, right?",,owner,support@choosemuse.com,support@choosemuse.com
emergencyzone.com,Emergency Zone,https://www.emergencyzone.com/cdn/shop/products/708_1000x1000.jpg?v=1615574471,https://www.emergencyzone.com/products/plastic-case,I was browsing through your site and came across one of your products: plastic briefcase,"That comes with a plastic case, right?",(model number: 7303 ),owner,support@emergencyzone.com,support@emergencyzone.com
steroplast.co.uk,Steroplast Healthcare,https://www.steroplast.co.uk/media/webp_image/catalog/product/cache/bc90adbefc6dc2e50e469af3d247af0a/b/s/bs_first_aid_kit_main_1.webp,https://www.steroplast.co.uk/hse-approved-first-aid-kit-11-20-person-kit-case.html,I was browsing through your site and came across one of your products: hse first aid kit - 11-20 person kit - case,"That comes with a plastic case, right?",(model number: 8019 ),owner,info@steroplast.co.uk,info@steroplast.co.uk
midlandusa.com,Midland Radio Corporation,https://midlandusa.com/cdn/shop/files/T77VP5SoftCase.jpg?v=1728396409&width=800,https://midlandusa.com/products/x-talker-t77vp5?bvstate=pg:3/ct:r,I was browsing through your site and came across one of your products: midland x-talker,"That comes with a soft-sided case, right?",(model number: T77VP5 ),owner,cus@midlandusa.com,cus@midlandusa.com
vitacsolutions.com,ViTAC Solutions,https://vitacsolutions.com/cdn/shop/files/Tacticalifakod.jpg?v=1737389538,https://vitacsolutions.com/products/vitac-tactical-individual-first-aid-kit,I was browsing through your site and came across one of your products: viTac tactical individual first aid kit,"That comes with a cut and sew bag, right?",(model number: iFAK ),owner,info@vitacsolutions.com,info@vitacsolutions.com
tpsmedic.com,"Hangzhou Tuopusi Medical Products Co., Ltd",https://www.tpsmedic.com/uploads/about/tps-electronic-catalog-2024.webp,https://www.tpsmedic.com/catalogue/,I was browsing through your site and came across one of your products: bandages,"That comes with soft-sided case(s) and cut-and-sew bag(s), right?",,owner,sales@tpsmedic.com,sales@tpsmedic.com
